deal_id;target_country;location;investor_name;investor_country;intention;year;negotiation_status;implementation_status;intended_size;nature_of_deal;contract_farming
3;Myanmar;Rakhine;Andhra Pradesh Industrial Infrastructure Corporation Ltd. (APIIC);India;Food crops;2007;intended;;20234;lease/concession;
4;Bangladesh;Noakhali;Individual entrepreneurs from Bangladesh;Bangladesh;Livestock;2003;concluded;not started;5000;;
11;Cambodia;Ratanakiri Province;30/4 Gialani Company Limited;Vietnam;Agriunspecified;2005;concluded;;9380;lease/concession;
12;Cambodia;Kratié;China Asean Resources Ltd.;China;For wood and fibre;2008;concluded;;7000;;
13;Cambodia;Mondol Kiri;Agro Forestry Research;China;Non-food agricultural commodities;2009;concluded;;7000;;
15;Cambodia;Cambodia;Amira Nature Foods Ltd;United Arab Emirates;Food crops;2010;intended;;25000;;
16;Cambodia;Balang;An Mady Group;Cambodia;Livestock;2005;concluded;;9863;;
17;Cambodia;Oddar Meancheay;Mitr Phol Group;Thailand;Biofuels;2008;concluded;;6523;;
18;Cambodia;Kratie;Asia World Agricultural Development (Cambodia) Co. Ltd.;Cambodia;For wood and fibre;2006;concluded;;10000;;
19;Cambodia;Memot;Bigimexco;Vietnam;Food crops;2006;concluded;;10603;;
20;Cambodia;Santuk;"BNA (Cam) Corp
";South Korea;Agriunspecified;2009;concluded;;7500;;
23;Cambodia;Phnom Sruoch;CJ Corporation;South Korea;Biofuels;2001;concluded;;5000;;
26;Cambodia;Kampot;"CAMLAND Co., Ltd.,  MH Ethanol Co. Ltd.
";Cambodia;Agriunspecified;2000;concluded;;16400;;
27;Cambodia;Kratié;Carmadeno Venture Limited;India;Agriunspecified;2009;concluded;;7635;;
29;Cambodia;Kratié;Central First Company;USA;Non-food agricultural commodities;2009;concluded;;7000;;
30;Cambodia;Phnom Sruoch;China National Corporation for Overseas Economic Cooperation Laod Star Development;China;Food crops;;failed;;8000;;
32;Cambodia;Oddar Meancheay;Crystal Agro Company Limited;Cambodia;Biofuels;2006;concluded;;8000;;
33;Cambodia;Kratié;CIV Development Company;Vietnam;Non-food agricultural commodities;2009;concluded;;769;;
34;Cambodia;Mondulkiri;"Covyphama Co., Ltd
";Cambodia;Non-food agricultural commodities;2008;concluded;;5345;;
35;Cambodia;Kratié;China Asean Resources Ltd.;China;Non-food agricultural commodities;2008;concluded;;7200;;
36;Cambodia;Pu Chrey,  Khum Krang Teh,  Srae Ampum;DUI Holding A/S;Denmark;Non-food agricultural commodities;2009;concluded;;4000;;
37;Cambodia;Kratié;;;Food crops;2007;concluded;;6436;;
